"object_number","object_name","dimensions","reproduction.path"
"NK2875","schilderij","hoogte 47 cm; breedte 41 cm; diepte 5 cm; hoogte 24.5 cm; breedte 21.7 cm","NK_collectie/images_remove_frame/5967af47-ba1a-37d3-c928-bfe2760c1e47_cropped.jpg"
"NK2875","schilderij","hoogte 47 cm; breedte 41 cm; diepte 5 cm; hoogte 24.5 cm; breedte 21.7 cm","NK_collectie/images_remove_frame/d2fea813-b1df-9a86-fb23-18d5b4d7ec23_cropped.jpg"
"NK2875","schilderij","hoogte 47 cm; breedte 41 cm; diepte 5 cm; hoogte 24.5 cm; breedte 21.7 cm","NK_collectie/images_remove_frame/8294c233-f522-de4a-7b17-3326fc31caef_cropped.jpg"
"NK2878","schilderij","hoogte 46 cm; breedte 35.5 cm","NK_collectie/images_remove_frame/4999c272-0f0f-cfd7-8a6d-03ad435d219d_cropped.jpg"
"NK2878","schilderij","hoogte 46 cm; breedte 35.5 cm","NK_collectie/images_remove_frame/db413b5a-f825-a8cc-aacb-82a5d06f2616_cropped.jpg"
"NK2879","schilderij","hoogte 64 cm; breedte 85 cm","NK_collectie/images_remove_frame/88f76f32-fc44-31b6-2393-b9ff8769494c_cropped.jpg"
"NK2879","schilderij","hoogte 64 cm; breedte 85 cm","NK_collectie/images_remove_frame/b7c18e3f-763b-a8e1-74b8-e296a361cd0d_cropped.jpg"
"NK2882","schilderij","hoogte 151 cm; breedte 124 cm","NK_collectie/images_remove_frame/96ebe556-2c1b-6ee2-59b2-d82456cb6982_cropped.jpg"
"NK2883","schilderij","hoogte 78.5 cm; breedte 109.5 cm; hoogte 103 cm; breedte 134 cm; diepte 9 cm","NK_collectie/images_remove_frame/45c12e3e-94e7-b68b-7295-f486b7237957_cropped.jpg"
"NK2883","schilderij","hoogte 78.5 cm; breedte 109.5 cm; hoogte 103 cm; breedte 134 cm; diepte 9 cm","NK_collectie/images_remove_frame/4e0b87ce-c00f-6dc8-be2d-241489856b7e_cropped.jpg"
"NK2883","schilderij","hoogte 78.5 cm; breedte 109.5 cm; hoogte 103 cm; breedte 134 cm; diepte 9 cm","NK_collectie/images_remove_frame/9c2d1373-e17e-b311-4ed0-77e1bba759a4_cropped.jpg"
"NK2885","schilderij","hoogte 96 cm; breedte 83.9 cm; diepte 6.5 cm","NK_collectie/images_remove_frame/8c59d87a-8a5c-0483-e44b-8fb662dbc6b5_cropped.jpg"
"NK2885","schilderij","hoogte 96 cm; breedte 83.9 cm; diepte 6.5 cm","NK_collectie/images_remove_frame/819d0807-2b6d-06a5-d5db-043b9c29be21_cropped.jpg"
"NK2885","schilderij","hoogte 96 cm; breedte 83.9 cm; diepte 6.5 cm","NK_collectie/images_remove_frame/e9ed80b9-6144-78db-501d-312a41bdfb16_cropped.jpg"
"NK2890","altaarstuk","hoogte 116 cm; breedte 48 cm; hoogte 135.6 cm; breedte 122 cm; diepte 9 cm","NK_collectie/images_remove_frame/289ea94c-16fd-efb4-c82f-d85ae636adf2_cropped.jpg"
"NK2890","altaarstuk","hoogte 116 cm; breedte 48 cm; hoogte 135.6 cm; breedte 122 cm; diepte 9 cm","NK_collectie/images_remove_frame/552aaede-7bc2-ad1a-3922-7b0ef4ec12b9_cropped.jpg"
"NK2890","altaarstuk","hoogte 116 cm; breedte 48 cm; hoogte 135.6 cm; breedte 122 cm; diepte 9 cm","NK_collectie/images_remove_frame/591954a9-4bcf-5468-ebc1-142f7fde8ab5_cropped.jpg"
"NK2890","altaarstuk","hoogte 116 cm; breedte 48 cm; hoogte 135.6 cm; breedte 122 cm; diepte 9 cm","NK_collectie/images_remove_frame/230ebbde-e804-4c21-1995-f5e2013ba9d1_cropped.jpg"
"NK2892","schilderij","hoogte 29.5 cm; breedte 23.5 cm","NK_collectie/images_remove_frame/897e8e44-5000-a1b3-9c90-08df531280cb_cropped.jpg"
"NK2892","schilderij","hoogte 29.5 cm; breedte 23.5 cm","NK_collectie/images_remove_frame/998cdcc3-8d0b-40f7-ea28-c133c3de88cc_cropped.jpg"
"NK2893","schilderij","hoogte 29.5 cm; breedte 23.5 cm","NK_collectie/images_remove_frame/d5e68ecc-d46b-938f-5fc3-218a76d2c799_cropped.jpg"
"NK2893","schilderij","hoogte 29.5 cm; breedte 23.5 cm","NK_collectie/images_remove_frame/d8d618ee-6849-a54e-02eb-80be35461474_cropped.jpg"
"NK2893","schilderij","hoogte 29.5 cm; breedte 23.5 cm","NK_collectie/images_remove_frame/1d27d86d-3b7d-b06a-da5e-2a801bcf9910_cropped.jpg"
"NK29","schrijfkabinet","hoogte 238 cm; breedte 111 cm; ""diepte / diameter"" 60 cm","NK_collectie/images_remove_frame/15e90a8f-6d18-8ec9-51fb-15f0bc09e881_cropped.jpg"
"NK2900","Yalameh-tapijt","hoogte 224 cm; breedte 163 cm","NK_collectie/images_remove_frame/947629f8-9fe4-2b73-df80-e9cd38f3753c_cropped.jpg"
"NK2900","Yalameh-tapijt","hoogte 224 cm; breedte 163 cm","NK_collectie/images_remove_frame/5f95f81f-c5cf-a106-d6e2-713863a2d1e3_cropped.jpg"
"NK2900","Yalameh-tapijt","hoogte 224 cm; breedte 163 cm","NK_collectie/images_remove_frame/a891d0be-8c42-6947-c34f-a8f4873a5f02_cropped.jpg"
"NK2900","Yalameh-tapijt","hoogte 224 cm; breedte 163 cm","NK_collectie/images_remove_frame/994bd310-d6eb-f3eb-0d1b-463a262ae9f8_cropped.jpg"
"NK2900","Yalameh-tapijt","hoogte 224 cm; breedte 163 cm","NK_collectie/images_remove_frame/b650309d-0770-615e-00bb-78a22eba67f4_cropped.jpg"
"NK2901","loper","hoogte 459 cm; breedte 104 cm","NK_collectie/images_remove_frame/307a14c1-837c-ed79-fa6a-a9b2f426b7d8_cropped.jpg"
"NK2908","schilderij","hoogte 28.2 cm; breedte 61 cm","NK_collectie/images_remove_frame/336f7d35-4edc-4d8e-504a-d000bfe08861_cropped.jpg"
"NK2910","schilderij","hoogte 33.5 cm; breedte 27.5 cm","NK_collectie/images_remove_frame/cd3dab40-7a0b-2922-1c94-5c9d6ee7ba06_cropped.jpg"
"NK2913","Kashan-tapijt","hoogte 466 cm; breedte 344 cm","NK_collectie/images_remove_frame/f9d25bc7-6119-a524-8724-6cdd328b826c_cropped.jpg"
"NK2913","Kashan-tapijt","hoogte 466 cm; breedte 344 cm","NK_collectie/images_remove_frame/13e067fe-45ae-b56d-804b-2f96a64c83e5_cropped.jpg"
"NK2917","schilderij","hoogte 191.5 cm; breedte 219.5 cm","NK_collectie/images_remove_frame/d8e48291-6449-a671-6bbf-d6c43e1f7e4c_cropped.jpg"
"NK2920","schilderij","hoogte 61 cm; breedte 52 cm","NK_collectie/images_remove_frame/a3821629-3776-25fd-dca0-830fb878568d_cropped.jpg"
"NK2920","schilderij","hoogte 61 cm; breedte 52 cm","NK_collectie/images_remove_frame/5e2fb573-2d9b-38c3-c05b-d2e7da8eb60c_cropped.jpg"
"NK2921","schilderij","hoogte 62.7 cm; breedte 73.1 cm","NK_collectie/images_remove_frame/5d27e069-52a2-c409-0464-785cdc4d85fe_cropped.jpg"
"NK2921","schilderij","hoogte 62.7 cm; breedte 73.1 cm","NK_collectie/images_remove_frame/3878b796-3baf-5a28-64b1-01e3bdc5a237_cropped.jpg"
"NK2921","schilderij","hoogte 62.7 cm; breedte 73.1 cm","NK_collectie/images_remove_frame/89ff3fe2-9b2a-40c0-73e4-a0e91525d2cc_cropped.jpg"
"NK2921","schilderij","hoogte 62.7 cm; breedte 73.1 cm","NK_collectie/images_remove_frame/5992579f-bb09-78d2-1509-741ad2275a16_cropped.jpg"
"NK2921","schilderij","hoogte 62.7 cm; breedte 73.1 cm","NK_collectie/images_remove_frame/5a921801-3fee-dd3f-fe21-d2a27c2b6cc0_cropped.jpg"
"NK2922","schilderij","hoogte 88 cm; breedte 102 cm; diepte 7 cm; hoogte 75 cm; breedte 88 cm","NK_collectie/images_remove_frame/798cd998-4fbc-b53f-2ce3-07f395cd6c90_cropped.jpg"
"NK2922","schilderij","hoogte 88 cm; breedte 102 cm; diepte 7 cm; hoogte 75 cm; breedte 88 cm","NK_collectie/images_remove_frame/a9eda5c9-476c-11a7-089b-1a60771a177a_cropped.jpg"
"NK2929","schilderij","hoogte 130 cm; breedte 260 cm","NK_collectie/images_remove_frame/3a32207c-67fe-1b40-5fc8-4e40427dc9f2_cropped.jpg"
"NK2929","schilderij","hoogte 130 cm; breedte 260 cm","NK_collectie/images_remove_frame/072ee8e1-fcf0-6c71-3664-6bbc61183ae2_cropped.jpg"
"NK2936","schilderij","hoogte 68 cm; breedte 64.5 cm; diepte 8.5 cm; hoogte 51 cm; breedte 47.5 cm","NK_collectie/images_remove_frame/5c5e1128-26d8-0830-7558-706b0319a114_cropped.jpg"
"NK2936","schilderij","hoogte 68 cm; breedte 64.5 cm; diepte 8.5 cm; hoogte 51 cm; breedte 47.5 cm","NK_collectie/images_remove_frame/8e0f7f3c-3910-2dbc-394b-8d472557b66d_cropped.jpg"
"NK2937","schilderij","hoogte 30 cm; breedte 35 cm","NK_collectie/images_remove_frame/68461d45-4d0e-5e9f-62c1-9fed2a2931e1_cropped.jpg"
"NK2937","schilderij","hoogte 30 cm; breedte 35 cm","NK_collectie/images_remove_frame/c6fd9406-0e2c-b957-c53e-3db2c73c3a12_cropped.jpg"
"NK2938","schilderij","hoogte 121.6 cm; breedte 173 cm; diepte 7 cm","NK_collectie/images_remove_frame/a9e90d33-e03e-4253-bb77-e73c5c5f6fbf_cropped.jpg"
"NK2938","schilderij","hoogte 121.6 cm; breedte 173 cm; diepte 7 cm","NK_collectie/images_remove_frame/19de29a9-bf6e-aa53-bde4-e08b840cee15_cropped.jpg"
"NK2938","schilderij","hoogte 121.6 cm; breedte 173 cm; diepte 7 cm","NK_collectie/images_remove_frame/7ef75258-493e-d623-dc2e-b261397cacd8_cropped.jpg"
"NK2940","schilderij","hoogte 51 cm; breedte 81 cm","NK_collectie/images_remove_frame/c7e7c2c5-c91f-9e41-e04c-571db72d61f5_cropped.jpg"
"NK2940","schilderij","hoogte 51 cm; breedte 81 cm","NK_collectie/images_remove_frame/2a6b0294-56a0-1e27-578e-96a7627adfe3_cropped.jpg"
"NK2940","schilderij","hoogte 51 cm; breedte 81 cm","NK_collectie/images_remove_frame/9aead105-61b0-dd7d-782a-79d3c80970e1_cropped.jpg"
"NK2942","schilderij","hoogte 75 cm; breedte 100 cm","NK_collectie/images_remove_frame/4edf7172-ccfd-9b7c-19b3-a36ee596691a_cropped.jpg"
